38 Provinsi,Persentase Penduduk Miskin (P0) Menurut Provinsi dan Daerah (Persen),,,,
,Jumlah,,,,
,2021,2022,2023,2024,2025
,Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret),Semester 1 (Maret)
ACEH,15.33,14.64,14.45,14.23,12.33
SUMATERA UTARA,9.01,8.42,8.15,7.99,7.36
SUMATERA BARAT,6.63,5.92,5.95,5.97,5.35
RIAU,7.12,6.78,6.68,6.67,6.16
JAMBI,8.09,7.62,7.58,7.1,7.19
SUMATERA SELATAN,12.84,11.9,11.78,10.97,10.15
BENGKULU,15.22,14.62,14.04,13.56,12.08
LAMPUNG,12.62,11.57,11.11,10.69,10
KEP. BANGKA BELITUNG,4.9,4.45,4.52,4.55,5
KEP. RIAU,6.12,6.24,5.69,5.37,4.44
DKI JAKARTA,4.72,4.69,4.44,4.3,4.28
JAWA BARAT,8.4,8.06,7.62,7.46,7.02
JAWA TENGAH,11.79,10.93,10.77,10.47,9.48
DI YOGYAKARTA,12.8,11.34,11.04,10.83,10.23
JAWA TIMUR,11.4,10.38,10.35,9.79,9.5
BANTEN,6.66,6.16,6.17,5.84,5.63
BALI,4.53,4.57,4.25,4,3.72
NUSA TENGGARA BARAT,14.14,13.68,13.85,12.91,11.78
NUSA TENGGARA TIMUR,20.99,20.05,19.96,19.48,18.6
KALIMANTAN BARAT,7.15,6.73,6.71,6.32,6.16
KALIMANTAN TENGAH,5.16,5.28,5.11,5.17,5.19
KALIMANTAN SELATAN,4.83,4.49,4.29,4.11,3.84
KALIMANTAN TIMUR,6.54,6.31,6.11,5.78,5.17
KALIMANTAN UTARA,7.36,6.77,6.45,6.32,5.54
SULAWESI UTARA,7.77,7.28,7.38,7.25,6.71
SULAWESI TENGAH,13,12.33,12.41,11.77,10.92
SULAWESI SELATAN,8.78,8.63,8.7,8.06,7.6
SULAWESI TENGGARA,11.66,11.17,11.43,11.21,10.54
GORONTALO,15.61,15.42,15.15,14.57,13.24
SULAWESI BARAT,11.29,11.75,11.49,11.21,10.41
MALUKU,17.87,15.97,16.42,16.05,15.38
MALUKU UTARA,6.89,6.23,6.46,6.32,5.81
PAPUA BARAT,21.84,21.33,20.49,21.66,20.66
PAPUA BARAT DAYA,-,-,-,18.13,17.95
PAPUA,26.86,26.56,26.03,17.26,19.16
PAPUA SELATAN,-,-,-,17.44,19.71
PAPUA TENGAH,-,-,-,29.76,28.9
PAPUA PEGUNUNGAN,-,-,-,32.97,30.03
INDONESIA,10.14,9.54,9.36,9.03,8.47
,,,,,
Catatan,<br /><ul><li>Data Provinsi Kalimantan Utara pada tahun 2013 dan 2014 masih bergabung dengan Provinsi Kalimantan Timur</li><li>Angka Provinsi Papua Barat dan Papua sebelum tahun 2024 merupakan angka provinsi sebelum mengalami pemekaran Daerah Otonom Baru (DOB)</li></ul><br />,,,,