38 Provinsi,Upah Rata - Rata Per Jam Pekerja Menurut Provinsi (Rupiah/Jam),,,,
,2020,2021,2022,2023,2024
ACEH,18099,17037,16772,17585,17547
SUMATERA UTARA,15949,15486,15131,17609,17206
SUMATERA BARAT,17571,16630,15887,16694,16824
RIAU,18411,19144,18626,18413,19619
JAMBI,15840,16043,16042,17596,17996
SUMATERA SELATAN,15072,15873,15978,16273,17725
BENGKULU,17407,18271,16501,17410,17468
LAMPUNG,14912,15224,13218,13958,14327
KEP. BANGKA BELITUNG,15763,17692,18132,20141,21806
KEP. RIAU,25032,25736,23528,27640,28764
DKI JAKARTA,28420,30662,32685,42354,35281
JAWA BARAT,19078,19716,19038,21194,20857
JAWA TENGAH,12707,13072,12604,13381,14178
DI YOGYAKARTA,15771,15098,14916,16478,17558
JAWA TIMUR,14389,14789,15119,15155,15287
BANTEN,23035,24839,23880,24685,25909
BALI,17775,17662,16857,18521,18819
NUSA TENGGARA BARAT,13627,12992,11734,12933,13267
NUSA TENGGARA TIMUR,17696,16386,13012,14770,14981
KALIMANTAN BARAT,16098,16127,16337,19303,17861
KALIMANTAN TENGAH,20677,21040,19795,20257,21335
KALIMANTAN SELATAN,18863,18874,18661,18938,20523
KALIMANTAN TIMUR,24097,23943,22281,22509,24676
KALIMANTAN UTARA,26002,22972,20320,22366,24092
SULAWESI UTARA,21390,20963,18335,19270,23831
SULAWESI TENGAH,18140,20637,15890,16392,18402
SULAWESI SELATAN,19172,19217,17257,17776,17505
SULAWESI TENGGARA,20449,19302,17542,18884,20510
GORONTALO,15128,14613,14289,15138,15027
SULAWESI BARAT,18136,18072,14774,16387,17516
MALUKU,26198,21156,17006,17156,18831
MALUKU UTARA,23338,21131,18278,27078,21965
PAPUA BARAT,27904,29600,24128,25695,28214
PAPUA BARAT DAYA,-,-,-,-,26883
PAPUA,32138,30382,24097,28570,27849
PAPUA SELATAN,-,-,-,-,25526
PAPUA TENGAH,-,-,-,-,29658
PAPUA PEGUNUNGAN,-,-,-,-,34588
INDONESIA,17696,18089,17542,19027,19009
,,,,,
Catatan,"<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><ul><li>Sumber: Sakernas, BPS",</li><li>Tahun 2015-2019 angka revisi karena perubahan penimbang<br /></li></ul><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />,,,