38 Provinsi,Persentase Unmet Need Pelayanan Kesehatan Menurut Provinsi (Persen),,,,
,2020,2021,2022,2023,2024
ACEH,4.33,4.29,6.83,5.79,5.24
SUMATERA UTARA,4.75,3.83,5.96,5.15,4.62
SUMATERA BARAT,4.13,3.26,4.31,4.67,4.8
RIAU,4.63,3.2,5.82,5.29,4.82
JAMBI,4.48,3.85,6.56,5.93,4.84
SUMATERA SELATAN,5.36,3.32,4.7,4.53,4.92
BENGKULU,5.14,4.49,6.06,5.92,6.35
LAMPUNG,5.42,3.89,7.33,5.51,5.19
KEP. BANGKA BELITUNG,4.31,3.36,6.03,4.87,4.78
KEP. RIAU,2.61,2.25,3.96,4.33,4.61
DKI JAKARTA,3.93,2.61,1.56,3.29,3.06
JAWA BARAT,5.87,3.86,6.62,4.96,5.74
JAWA TENGAH,5.83,8.28,6.61,5.43,5.7
DI YOGYAKARTA,3.9,3.02,7.48,4.13,4.32
JAWA TIMUR,5.28,6.75,6.2,5.12,5.05
BANTEN,7,4.29,5.34,5.27,4.12
BALI,2.96,2.42,2.75,2.75,2.04
NUSA TENGGARA BARAT,7.68,8.49,9.98,9.04,8.24
NUSA TENGGARA TIMUR,7.03,7.37,7.22,7.5,7.06
KALIMANTAN BARAT,5.93,4.48,6.44,7.23,5.53
KALIMANTAN TENGAH,6.06,4.18,5.18,5.72,4.97
KALIMANTAN SELATAN,6.55,6.46,5.4,5.82,6.27
KALIMANTAN TIMUR,3.39,2.61,5.34,4.62,3.92
KALIMANTAN UTARA,4.62,3.73,8.9,5.97,4.11
SULAWESI UTARA,4.68,3.19,4.93,5.38,5.08
SULAWESI TENGAH,7.52,6.25,7.93,6.28,7.28
SULAWESI SELATAN,5.66,4.22,7.15,4.92,5.34
SULAWESI TENGGARA,8.54,7.59,10.21,6.83,6.38
GORONTALO,6.03,6.45,8.89,8.72,7.71
SULAWESI BARAT,6.84,6.98,8.5,6.79,6.24
MALUKU,4.38,4.45,4.11,6.51,3.73
MALUKU UTARA,4.77,5.41,5.19,4.79,4.22
PAPUA BARAT,3.33,2.78,4.14,2.97,3.66
PAPUA BARAT DAYA,-,-,-,-,4.08
PAPUA,2.7,2.95,2.16,2.66,3.02
PAPUA SELATAN,-,-,-,-,4.37
PAPUA TENGAH,-,-,-,-,1.39
PAPUA PEGUNUNGAN,-,-,-,-,2.27
INDONESIA,5.44,5.03,6.09,5.22,5.18
,,,,,
Catatan,Sumber: Susenas Maret,,,,