38 Provinsi,Persentase Tenaga Kerja Formal Menurut Provinsi (Persen),,,,
,2020,2021,2022,2023,2024
ACEH,38.12,39.31,38.55,40.14,39.83
SUMATERA UTARA,40.38,40.67,40.93,41.48,42.65
SUMATERA BARAT,33.72,35.23,34.74,35.81,37.45
RIAU,44.03,45.43,45.98,47.87,49.93
JAMBI,37.26,37.99,40.02,40.27,41.65
SUMATERA SELATAN,34.74,35.84,36.72,37.03,37.66
BENGKULU,30.77,31.84,32.46,32.23,33.99
LAMPUNG,27.74,28.69,28.49,29.33,30.86
KEP. BANGKA BELITUNG,47.07,49.07,50.37,48.93,48.86
KEP. RIAU,64.59,64.8,63.68,66.33,68.45
DKI JAKARTA,61.78,61.74,63.12,63.77,63.69
JAWA BARAT,44.41,45.39,45.39,44.85,45.61
JAWA TENGAH,37.25,39.62,39.84,39.61,40.36
DI YOGYAKARTA,42.59,44.64,46.62,46.22,46.88
JAWA TIMUR,36.36,37.36,36.14,36.89,38.51
BANTEN,50.83,51.13,52.04,53.69,53.79
BALI,43.31,42.9,46.57,47.65,49.32
NUSA TENGGARA BARAT,26.53,26.11,24.64,27.7,29.49
NUSA TENGGARA TIMUR,23.9,24.03,24.76,25.49,26.68
KALIMANTAN BARAT,36.99,39.13,41.23,40.31,43.98
KALIMANTAN TENGAH,44.2,44.5,48.5,48.14,50.67
KALIMANTAN SELATAN,39.18,40.37,42.7,44.75,46.44
KALIMANTAN TIMUR,52.86,53.51,55.74,55.33,57.68
KALIMANTAN UTARA,49.07,49.26,51,48.62,49.59
SULAWESI UTARA,39.54,39.3,40.85,41.86,44.53
SULAWESI TENGAH,32.63,32.68,32.13,33.9,34.57
SULAWESI SELATAN,35.78,36.76,36.45,37.23,39.5
SULAWESI TENGGARA,35.41,37.19,37.61,38.16,38.08
GORONTALO,37.88,37.61,35.03,36.27,38.55
SULAWESI BARAT,27.37,27.2,22.75,26.65,27.92
MALUKU,33.44,35.59,36.7,34.58,34.96
MALUKU UTARA,33.87,36.44,34.37,33.92,35.24
PAPUA BARAT,42.02,42.08,39.72,41.45,37.13
PAPUA BARAT DAYA,-,-,-,-,43.04
PAPUA,20.08,19.53,15.89,15.57,42.72
PAPUA SELATAN,-,-,-,-,33.16
PAPUA TENGAH,-,-,-,-,12.98
PAPUA PEGUNUNGAN,-,-,-,-,4.24
INDONESIA,39.53,40.55,40.69,40.89,42.05
,,,,,
Catatan,<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />Sumber: Survei Angkatan Kerja Nasional (Sakernas)<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><br />,,,,