38 Provinsi,Proporsi Lapangan Kerja Informal Sektor Non-Pertanian Menurut Provinsi,,,,
,2020,2021,2022,2023,2024
ACEH,47.59,46.29,44.13,44.52,45.92
SUMATERA UTARA,48.02,47.53,46.45,47.19,46.13
SUMATERA BARAT,53.44,51.56,52.38,51.54,49.47
RIAU,44.66,44.07,44.3,43.08,43.33
JAMBI,47.11,45.97,44.76,45.37,45.86
SUMATERA SELATAN,49.42,48.2,45.1,47.28,45.49
BENGKULU,50.69,51,47.72,49.03,48.42
LAMPUNG,57.5,56.7,55.67,55.57,54.92
KEP. BANGKA BELITUNG,42.74,43.98,43.49,44.77,44.76
KEP. RIAU,30.87,30.93,32.57,29.45,28.63
DKI JAKARTA,38.16,38.16,36.82,36.12,36.14
JAWA BARAT,48.82,48.17,48.57,49.23,48.7
JAWA TENGAH,52.14,50.57,49.99,50.39,48.73
DI YOGYAKARTA,48.21,46.61,44.19,43.2,42.88
JAWA TIMUR,51.1,50.16,50.73,50.08,48.52
BANTEN,43.17,43.36,42.5,40.48,39.28
BALI,46.2,46.82,43.45,42.9,41.71
NUSA TENGGARA BARAT,60.31,62.67,63.17,59.65,55.77
NUSA TENGGARA TIMUR,52.66,53.76,52.98,51.68,49.69
KALIMANTAN BARAT,43.92,43.61,41.39,42.2,39.49
KALIMANTAN TENGAH,45.97,45.91,40.98,43.63,42.29
KALIMANTAN SELATAN,48.79,47.55,43.37,43.8,41.19
KALIMANTAN TIMUR,39.27,38.5,36.54,36.76,35.89
KALIMANTAN UTARA,39.17,37.11,33.73,36.93,37.64
SULAWESI UTARA,49.3,51.32,49.43,49.55,46.03
SULAWESI TENGAH,47.95,48.93,49.37,48.24,47.86
SULAWESI SELATAN,46.05,46.27,44.89,46.11,44.11
SULAWESI TENGGARA,47.69,47.34,45.98,47.39,46.46
GORONTALO,49.71,50.32,52.03,51.72,51.17
SULAWESI BARAT,54.2,54.91,57.15,52.7,52.62
MALUKU,52.08,49.97,48.04,52.17,52.31
MALUKU UTARA,44.66,50.8,54.29,56.18,54.86
PAPUA BARAT,41.72,41.07,38.02,38.71,39.87
PAPUA BARAT DAYA,-,-,-,-,41.45
PAPUA,41.38,41.15,45.83,53.28,41.22
PAPUA SELATAN,-,-,-,-,40.68
PAPUA TENGAH,-,-,-,-,55.4
PAPUA PEGUNUNGAN,-,-,-,-,64.85
INDONESIA,48.57,47.99,47.45,47.59,46.44
,,,,,
Catatan,<br /><br /><br /><br /><br /><br /><br />Sumber : BPS<br /><br /><br /><br /><br /><br /><br /><br />,,,,