38 Provinsi,Angka Partisipasi Murni (APM) Menurut Provinsi dan Jenjang Pendidikan,,,,,,,,,,,,,,
,SD/sederajat,,,,,SMP/sederajat,,,,,SM/sederajat,,,,
,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024
ACEH,99.03,98.95,99.07,98.97,97.96,86.87,86.95,88.21,84.85,84.22,70.7,70.8,71.16,71.7,70.94
SUMATERA UTARA,97.73,97.69,98,97.95,97.68,80.56,81.13,81.84,82.09,82.15,68,67.99,68.27,68.67,69.72
SUMATERA BARAT,98.8,98.82,98.8,98.89,98.89,78.41,78.75,78.86,80.22,82.94,68.9,68.99,68.38,69.18,72.5
RIAU,97.73,97.85,97.8,98.13,98.45,80.48,80.52,80.43,80.76,81.14,64.01,64,63.87,64.81,68.04
JAMBI,99.11,99.41,99.33,99.33,98.17,79.93,79.88,79.93,80.23,79.65,61.38,61.56,60.73,60.6,62.48
SUMATERA SELATAN,97.91,98,98.08,98.12,97.53,77.97,78.31,78.68,79.12,77.58,60.45,60.53,61,61.24,62.7
BENGKULU,98.65,98.61,98.6,98.61,98.33,79.77,80.25,80.25,81.08,82.36,65.82,66.08,66.61,67.09,69.14
LAMPUNG,99.16,99.1,99.29,99.22,98.33,81.17,82.03,82.07,80.64,81.4,59.58,60.31,61.96,62.84,64.54
KEP. BANGKA BELITUNG,97.73,97.89,98.01,98.11,98.29,74.59,74.6,74.68,77,77.59,58.82,58.79,59.65,60.72,61.71
KEP. RIAU,99.16,99.26,99.2,99.29,98.71,86.47,86.6,86.76,86.78,87.1,73.45,73.36,73.54,74.11,77.54
DKI JAKARTA,98.05,98.22,98.37,98.44,98.39,82.47,83.01,84.22,84.95,88.67,60.42,60.53,60.88,60.81,64.85
JAWA BARAT,98.37,98.37,98.29,98.2,98.53,82.06,82.88,82.8,83.61,84.61,57.9,58.58,58.6,59.01,60.68
JAWA TENGAH,97.9,98.22,98.39,98.46,98.39,80.53,80.99,81.02,81.56,81.03,59.74,60.46,61.17,61.46,62.56
DI YOGYAKARTA,99.59,99.44,99.43,99.36,99.43,83.98,83.62,85.28,85.62,90.14,70.98,71.42,74.5,76.37,77.86
JAWA TIMUR,97.99,97.9,98.09,98.04,98.81,83.53,83.8,83.8,83.91,84.52,62.24,62.63,62.1,62.59,64.77
BANTEN,97.95,98.15,97.93,97.97,98.09,82.73,84.28,84.67,85.43,83.68,59.06,59.69,59.54,60.42,63.5
BALI,96.84,97.2,97.46,97.77,98.7,87.26,87.11,86.88,84.78,86.3,73.29,74.82,74.73,75.6,74.19
NUSA TENGGARA BARAT,98.78,98.81,98.83,98.76,98.57,84.98,85.28,86.05,84.03,83.55,66.81,67.09,67.61,68.04,71.09
NUSA TENGGARA TIMUR,96.09,96.04,96.08,95.98,97.01,69.82,69.99,70.05,73.47,73.72,54.09,54.29,56,58.15,60.73
KALIMANTAN BARAT,97.36,97.42,97.52,97.7,98.6,67.42,68.11,68.32,70.85,72.9,51.7,51.77,51.87,54.76,57.18
KALIMANTAN TENGAH,99.11,99.01,99.11,99.05,98.35,78.45,78.8,78.75,79.07,80.49,54.08,54.25,55.69,55.63,58.05
KALIMANTAN SELATAN,98.76,98.94,99.12,99.14,98.68,75.51,75.88,76.28,77.44,78.14,58.25,58.37,59.61,59.83,60.26
KALIMANTAN TIMUR,98.44,98.36,98.45,98.53,98.59,81.28,81.3,82.65,83.36,83.7,69,69.29,69.1,69.89,72.37
KALIMANTAN UTARA,93.46,93.38,93.69,94.73,95.18,79.09,79.21,79.38,80.53,81.61,64.75,65.37,65.65,66.7,67.9
SULAWESI UTARA,95.13,95.39,95.44,95.68,95.87,74.82,74.94,76.11,76.56,77.27,63.43,63.33,63.3,63.86,65.47
SULAWESI TENGAH,93.24,93.33,93.25,93.31,94.84,74.42,74.99,75.63,76.8,77.55,65.02,65.44,65.72,66.18,65.62
SULAWESI SELATAN,97.98,98.26,98.41,98.41,97.81,76.17,77.02,77.42,77.98,76.84,60.32,60.35,60.44,60.57,62.71
SULAWESI TENGGARA,97.7,98.15,98.27,98.48,97.33,77.64,77.86,77.77,76.54,77.12,63.41,63.7,64.11,64,66.66
GORONTALO,98.5,98.65,98.74,98.69,98.2,70.68,71.15,71.66,73.55,72.51,57.86,58.21,58.47,60.18,61.23
SULAWESI BARAT,95.8,95.68,95.81,95.92,96.82,69.98,70.03,70.34,72.39,71.77,58.05,59.77,60.24,61.17,62.1
MALUKU,96.85,96.92,96.9,97.27,97.27,75.15,75.53,78.37,78.58,79.72,64.81,64.71,64.57,66.16,69.61
MALUKU UTARA,97.21,97.2,97.27,97.36,96.41,76.9,77.03,77.41,78.53,79.34,64.25,64.11,65.35,65.75,68.02
PAPUA BARAT,93.88,94.09,94.31,94.52,95.15,70.51,70.52,71.38,74.7,72.1,63.62,63.51,63.66,65.92,61.18
PAPUA BARAT DAYA,-,-,-,-,95.39,-,-,-,-,72.31,-,-,-,-,68.52
PAPUA,79.34,80.38,81.66,80.67,92.52,57.95,57.93,59.14,60.23,75.41,44.73,44.41,47.63,48.32,61.33
PAPUA SELATAN,-,-,-,-,85.86,-,-,-,-,52.03,-,-,-,-,44.79
PAPUA TENGAH,-,-,-,-,69.03,-,-,-,-,57.49,-,-,-,-,36.84
PAPUA PEGUNUNGAN,-,-,-,-,75.4,-,-,-,-,58.83,-,-,-,-,45.6
INDONESIA,97.69,97.8,97.88,97.89,97.94,80.12,80.59,80.89,81.35,81.73,61.25,61.65,61.97,62.53,64.32
,,,,,,,,,,,,,,,
Catatan,"Sumber: BPS, Susenas <br /> ","Catatan: Mulai tahun 2007, APM mencakup pendidikan non-formal (paket A setara SD sederajat, paket B setara SMP sederajat dan paket C setara SMA/SMK sederajat)",,,,,,,,,,,,,