38 Provinsi,Persentase Penduduk yang Memiliki/Menguasai Telepon Seluler Menurut Provinsi dan Klasifikasi Daerah,,,,
,Perkotaan+Perdesaan,,,,
,2020,2021,2022,2023,2024
ACEH,59.6,61.2,62.65,62.87,64.64
SUMATERA UTARA,59.56,65.05,67.71,67.42,68.43
SUMATERA BARAT,61.83,65.34,68.24,67.78,68.45
RIAU,66.35,70.57,73.47,72.4,74.74
JAMBI,64.06,67.32,69.64,69.23,70.2
SUMATERA SELATAN,60.68,64.53,66.25,66.23,67.34
BENGKULU,60.19,64.34,66.81,66.49,67.1
LAMPUNG,59.03,63.83,66.08,65,64.52
KEP. BANGKA BELITUNG,66.61,68.22,73.16,71.43,71.38
KEP. RIAU,74.33,80.51,79.88,80.37,83.9
DKI JAKARTA,77.57,81.83,82.27,82.47,83.43
JAWA BARAT,64.83,67.83,70.37,68.87,70.58
JAWA TENGAH,60.87,62.76,65.15,64.74,65.47
DI YOGYAKARTA,67.62,69.81,70.37,71.37,72.17
JAWA TIMUR,61.82,62.99,65.22,64.6,66.23
BANTEN,64.4,68.2,70.25,69.87,71.32
BALI,69.93,71.65,72.82,73.2,75.27
NUSA TENGGARA BARAT,56.36,59.16,61.11,61.48,63.38
NUSA TENGGARA TIMUR,44.12,51.92,52.73,51.36,53.96
KALIMANTAN BARAT,58.11,62.39,64.69,64.82,66.97
KALIMANTAN TENGAH,68.56,71.62,72.83,73.11,75.71
KALIMANTAN SELATAN,67.69,69.49,70.51,68.98,70.93
KALIMANTAN TIMUR,76.71,81.1,82.37,81.75,83.1
KALIMANTAN UTARA,71.95,76.02,78.62,77.57,77.5
SULAWESI UTARA,67.13,70.32,71.12,70.22,71.7
SULAWESI TENGAH,57.89,61.1,62.39,61.02,64.32
SULAWESI SELATAN,65.14,69.13,71.1,69.83,70.36
SULAWESI TENGGARA,63.86,68.22,70,70.94,71.95
GORONTALO,61.42,64.64,67.73,67.55,68.06
SULAWESI BARAT,54.41,59.51,61.07,61.89,62.39
MALUKU,56.16,62.41,63.85,63.21,63.44
MALUKU UTARA,54.88,59.08,61.58,60.85,64.14
PAPUA BARAT,66.61,68.11,68.01,65.76,68.29
PAPUA BARAT DAYA,-,-,-,65.76,67.48
PAPUA,40.44,38.94,35.33,37.95,67.97
PAPUA SELATAN,-,-,-,37.95,50.08
PAPUA TENGAH,-,-,-,-,33.7
PAPUA PEGUNUNGAN,-,-,-,-,15.76
INDONESIA,62.84,65.87,67.88,67.29,68.65
,,,,,
Catatan,"<br />Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).<br />",Catatan:<br /> ,"- Untuk perkotaan, pembagi adalah total penduduk  di daerah perkotaan<br />","- Untuk perdesaan, pembagi adalah total penduduk di daerah perdesaan","<br />- Untuk perkotaan+perdesaan, pembagi adalah total penduduk di daerah perkotaan dan perdesaan <br /><br />"