38 Provinsi,Persentase Penduduk Usia 5 Tahun ke Atas yang Pernah Mengakses Internet dalam 3 Bulan Terakhir Menurut Provinsi dan Klasifikasi Daerah,,,,
,Perkotaan+Perdesaan,,,,
,2020,2021,2022,2023,2024
ACEH,42.56,49.23,52.99,59.3,62.93
SUMATERA UTARA,48.05,59.17,65.68,70.29,74.15
SUMATERA BARAT,46.35,58.14,63.13,68.64,74.59
RIAU,52.78,62.83,68.85,73.02,77.68
JAMBI,47.93,56.07,64.06,68.14,71.76
SUMATERA SELATAN,46,56.89,62.57,66.66,70.54
BENGKULU,45.32,54.97,63.14,66.25,70.72
LAMPUNG,47.06,59.94,65.21,70.68,73.37
KEP. BANGKA BELITUNG,51.78,60.94,68.7,72.03,76.06
KEP. RIAU,67.72,81.03,82.4,86.71,89.26
DKI JAKARTA,77.61,85.55,84.65,86.5,87.84
JAWA BARAT,59.9,68.37,71.12,72.54,76.62
JAWA TENGAH,54.72,62.2,67.73,70,73.15
DI YOGYAKARTA,68.68,74,75.38,78.61,80.1
JAWA TIMUR,53.49,59.34,64.28,66.17,69.36
BANTEN,58.63,67.14,70.73,71.73,75.17
BALI,61.06,67.75,70.59,73.34,77.56
NUSA TENGGARA BARAT,44.28,52.96,59.39,63.2,68.52
NUSA TENGGARA TIMUR,32.04,43.14,47.39,51.06,54.84
KALIMANTAN BARAT,45.16,54.8,62.08,66.39,71.57
KALIMANTAN TENGAH,51.18,59.97,65.79,71.34,75.23
KALIMANTAN SELATAN,55.2,66.01,70.26,72.13,74.82
KALIMANTAN TIMUR,66.24,74.47,80.56,80.46,84.44
KALIMANTAN UTARA,60.52,69.26,77.43,77.03,77.44
SULAWESI UTARA,51.8,59.73,61.63,64.81,68.44
SULAWESI TENGAH,42.82,50.15,54.49,58.22,62.44
SULAWESI SELATAN,49.59,59.69,64.14,66.95,70.1
SULAWESI TENGGARA,48.31,57.21,61.88,65.83,70.36
GORONTALO,46.92,56.03,60.31,63.77,65.92
SULAWESI BARAT,38.29,48.73,55.38,59.89,66.61
MALUKU,39.48,49.74,55.22,58.54,59.96
MALUKU UTARA,35.8,42.68,50.2,53.48,59.17
PAPUA BARAT,50.21,54.61,58.27,60.01,62.96
PAPUA BARAT DAYA,-,-,-,60.01,65.75
PAPUA,25.52,26.49,26.32,29.87,62.24
PAPUA SELATAN,-,-,-,29.87,48.44
PAPUA TENGAH,-,-,-,-,28.71
PAPUA PEGUNUNGAN,-,-,-,-,6.76
INDONESIA,53.73,62.1,66.48,69.21,72.78
,,,,,
Catatan,"<br />Sumber: BPS, Survei Sosial Ekonomi Nasional (Susenas).<br />Catatan:<br /> ","- Untuk perkotaan, pembagi adalah total penduduk  usia 5 tahun ke atas di daerah perkotaan<br />- Untuk perdesaan, pembagi adalah total penduduk usia 5 tahun ke atas di daerah perdesaan<br />- Untuk perkotaan+perdesaan, pembagi adalah total penduduk usia 5 tahun ke atas di daerah perkotaan dan perdesaan",<br /><br />,,